VoteIntention,Region,Gender,Ethnicity,MaritalStatus,Age,Housing,Qualifications
LiberalDemocrat,west midlands,female,white,Married/Widowed,62,Owns/Mortgage,GCE
NA,greater london,female,white,Seperated/Divorced,70,Owns/Outright,Technical/None/Other
NA,east midlands,male,asian or asian british,Partner/Single,30,Rent/Other,Technical/None/Other
NA,scotland,female,white,Partner/Single,42,Owns/Mortgage,Technical/None/Other
Conservative,west midlands,female,white,Partner/Single,61,Rent/Other,Technical/None/Other
Conservative,south west,female,white,Married/Widowed,79,Owns/Outright,GCE
NA,south east,male,white,Married/Widowed,78,Owns/Outright,BA
NA,greater london,female,white,Partner/Single,22,Rent/Other,Technical/None/Other
NA,north west,male,white,Married/Widowed,26,Owns/Mortgage,BA
LiberalDemocrat,wales,male,white,Married/Widowed,62,Owns/Outright,BA
Conservative,scotland,male,white,Partner/Single,61,Owns/Outright,GCSE
LiberalDemocrat,west midlands,female,white,Married/Widowed,53,Rent/Other,Technical/None/Other
LiberalDemocrat,west midlands,female,white,Married/Widowed,58,Rent/Other,Technical/None/Other
LiberalDemocrat,south east,male,white,Married/Widowed,59,Owns/Outright,Technical/None/Other
Conservative,south west,female,white,Partner/Single,45,Owns/Outright,BA
Other,scotland,male,white,Married/Widowed,61,Rent/Other,Technical/None/Other
NA,greater london,male,white,Married/Widowed,38,Owns/Mortgage,GCE
NA,east anglia,female,white,Partner/Single,19,Owns/Mortgage,GCSE
NA,greater london,female,white,Married/Widowed,55,Owns/Mortgage,Technical/None/Other
Labour,north west,male,white,Married/Widowed,55,Owns/Outright,GCE
NA,north west,female,white,Partner/Single,23,Owns/Mortgage,GCE
Other,scotland,male,white,Seperated/Divorced,67,Rent/Other,GCSE
Other,south east,male,white,Partner/Single,21,Owns/Mortgage,GCE
Other,south west,male,white,Partner/Single,48,Owns/Mortgage,Technical/None/Other
LiberalDemocrat,wales,female,white,Seperated/Divorced,41,Rent/Other,Technical/None/Other
Conservative,south west,female,white,Married/Widowed,47,Owns/Mortgage,Technical/None/Other
Labour,east anglia,female,white,Married/Widowed,38,Owns/Mortgage,GCSE
Labour,north west,female,white,Partner/Single,27,Owns/Mortgage,BA
LiberalDemocrat,south east,male,black or black british,Married/Widowed,74,Owns/Outright,GCE
NA,west midlands,male,white,Seperated/Divorced,40,Rent/Other,Technical/None/Other
Other,east anglia,male,white,Married/Widowed,71,Owns/Outright,Technical/None/Other
NA,wales,male,white,Married/Widowed,52,Owns/Mortgage,Technical/None/Other
NA,south west,male,white,Seperated/Divorced,53,Rent/Other,Technical/None/Other
NA,greater london,female,white,Partner/Single,33,Rent/Other,BA
NA,wales,female,white,Partner/Single,25,Rent/Other,BA
Conservative,greater london,male,white,Married/Widowed,36,Owns/Mortgage,BA
NA,scotland,male,white,Married/Widowed,69,Owns/Mortgage,GCE
Labour,south east,female,white,Partner/Single,50,Rent/Other,Technical/None/Other
NA,south west,female,white,Partner/Single,48,Owns/Outright,GCE
Conservative,south west,male,white,Seperated/Divorced,57,Rent/Other,GCE
NA,yorkshire & humberside,male,white,Married/Widowed,43,Owns/Mortgage,GCE
NA,scotland,male,white,Married/Widowed,36,Owns/Mortgage,BA
NA,north,female,white,Partner/Single,29,Owns/Mortgage,BA
LiberalDemocrat,north,male,white,Married/Widowed,38,Rent/Other,Technical/None/Other
Labour,east anglia,male,white,Married/Widowed,65,Owns/Outright,GCE
NA,south east,male,white,Partner/Single,33,Owns/Mortgage,BA
NA,yorkshire & humberside,female,white,Partner/Single,24,Owns/Mortgage,GCE
Conservative,south west,female,white,Married/Widowed,53,Rent/Other,GCSE
Conservative,east anglia,female,white,Married/Widowed,68,Owns/Outright,Technical/None/Other
NA,wales,male,white,Married/Widowed,31,Owns/Mortgage,Technical/None/Other
NA,scotland,female,white,Married/Widowed,58,Owns/Mortgage,BA
Conservative,greater london,male,white,Married/Widowed,58,Owns/Outright,GCE
